code,common_name,scientific_name,order
BAEA,Bald Eagle,Haliaeetus leucocephalus,1
BLVU,Black Vulture,Coragyps atratus,2
BWHA,Broad-winged Hawk,Buteo platypterus,3
CBHA,Common Black Hawk,Buteogallus anthracinus,4
COHA,Cooper's Hawk,Accipiter cooperii,5
CRCA,Crested Caracara,Caracara cheriway,6
EUKE,Eurasian Kestrel,Falco tinnunculus,7
FEHA,Ferruginous Hawk,Buteo regalis,8
GOEA,Golden Eagle,Aquila chrysaetos,9
GRHA,Gray Hawk,Buteo plagiatus,10
GYRF,Gyrfalcon,Falco rusticolus,11
HRSH,Harris's Hawk,Parabuteo unicinctus,12
HBKI,Hook-billed Kite,Chondrohierax uncinatus,13
MERL,Merlin,Falco columbarius,14
MIKI,Mississippi Kite,Ictinia mississippiensis,15
NOGO,Northern Goshawk,Accipiter gentilis,16
NOHA,Northern Harrier,Circus cyaneus,17
OSPR,Osprey,Pandion haliaetus,18
PEFA,Peregrine Falcon,Falco peregrinus,19
PLKI,Plumbeous Kite,Ictinia plumbea,20
PRFA,Prairie Falcon,Falco mexicanus,21
RSHA,Red-shouldered Hawk,Buteo lineatus,22
RTHA,Red-tailed Hawk,Buteo jamaicensis,23
RLHA,Rough-legged Hawk,Buteo lagopus,24
SSHA,Sharp-shinned Hawk,Accipiter striatus,25
STHA,Short-tailed Hawk,Buteo brachyurus,26
SNKI,Snail Kite,Rostrhamus sociabilis,27
SWHA,Swainson's Hawk,Buteo swainsoni,28
STKI,Swallow-tailed Kite,Elanoides forficatus,29
TUVU,Turkey Vulture,Cathartes aura,30
UA,Unknown Accipiter,Accipiter sp.,31
UB,Unknown Buteo,Buteo sp.,32
UE,Unknown Eagle,eagle sp.,33
UF,Unknown Falcon,Falco sp.,34
UR,Unknown Raptor,Accipitriformes/Falconiformes sp.,35
UV,Unknown Vulture,Cathartidae sp.,36
WTEA,White-tailed Eagle,Haliaeetus albicilla,37
WTHA,White-tailed Hawk,Geranoaetus albicaudatus,38
WTKI,White-tailed Kite,Elanus leucurus,39
ZTHA,Zone-tailed Hawk,Buteo albonotatus,40
SA,Small Accipiter,Accipiter sp.,41
LA,Large Accipiter,Accipiter sp.,42
SF,Small Falcon,Falco sp. (small falcon sp.),43
LF,Large Falcon,Falco sp. (large falcon sp.),44
UK,Unknown Kite,,45
WEGR,Western Grebe,Aechmophorus occidentalis,46
CLGR,Clark's Grebe,Aechmophorus clarkii,47
WCGR,Western/Clark's Grebe,Podicipedidae sp.,48
RNGR,Red-necked Grebe,Podiceps grisegena,49
HOGR,Horned Grebe,Podiceps auritus,50
EAGR,Eared Grebe,Podiceps nigricollis,51
LEGR,Least Grebe,Tachybaptus dominicus,52
PBGR,Pied-billed Grebe,Podilymbus podiceps,53
COLO,Common Loon,Gavia immer,54
YBLO,Yellow-billed Loon,Gavia adamsii,55
ARLO,Arctic Loon,Gavia arctica,56
PALO,Pacific Loon,Gavia pacifica,57
RTLO,Red-throated Loon,Gavia stellata,58
TUPU,Tufted Puffin,Fratercula cirrhata,59
ATPU,Atlantic Puffin,Fratercula arctica,60
HOPU,Horned Puffin,Fratercula corniculata,61
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,62
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,63
PAAU,Parakeet Auklet,Aethia psittacula,64
CRAU,Crested Auklet,Aethia cristatella,65
WHAU,Whiskered Auklet,Aethia pygmaea,66
LEAU,Least Auklet,Aethia pusilla,67
ANMU,Ancient Murrelet,Synthliboramphus antiquus,68
MAMU,Marbled Murrelet,Brachyramphus marmoratus,69
LBMU,Long-billed Murrelet,Brachyramphus perdix,70
AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,71
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,72
XAMU,Xantus's Murrelet,Synthliboramphus scrippsi/hypoleucus,73
SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,74
GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,75
CRMU,Craveri's Murrelet,Synthliboramphus craveri,76
BLGU,Black Guillemot,Cepphus grylle,77
PIGU,Pigeon Guillemot,Cepphus columba,78
COMU,Common Murre,Uria aalge,79
TBMU,Thick-billed Murre,Uria lomvia,80
RAZO,Razorbill,Alca torda,81
DOVE,Dovekie,Alle alle,82
GRSK,Great Skua,Stercorarius skua,83
SPSK,South Polar Skua,Stercorarius maccormicki,84
POJA,Pomarine Jaeger,Stercorarius pomarinus,85
PAJA,Parasitic Jaeger,Stercorarius parasiticus,86
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,87
IVGU,Ivory Gull,Pagophila eburnea,88
MAGU,Magellan Gull,Leucophaeus scoresbii,89
BLKI,Black-legged Kittiwake,Rissa tridactyla,90
RLKI,Red-legged Kittiwake,Rissa brevirostris,91
GLGU,Glaucous Gull,Larus hyperboreus,92
ICGU,Iceland Gull,Larus glaucoides,93
THGU,Thayer's Gull,Larus thayeri,94
GWGU,Glaucous-winged Gull,Larus glaucescens,95
HYGU,Hybrid Gull,Larinae sp.,96
GBBG,Great Black-backed Gull,Larus marinus,97
SBGU,Slaty-backed Gull,Larus schistisagus,98
WEGU,Western Gull,Larus occidentalis,99
YFGU,Yellow-footed Gull,Larus livens,100
LBBG,Lesser Black-backed Gull,Larus fuscus,101
HERG,Herring Gull,Larus argentatus,102
CAGU,California Gull,Larus californicus,103
UNGU,Unidentified Gull,Larinae sp.,104
RBGU,Ring-billed Gull,Larus delawarensis,105
BTGU,Band-tailed Gull,Larus belcheri,106
MEGU,Mew Gull,Larus canus,107
BHGU,Black-headed Gull,Chroicocephalus ridibundus,108
HEEG,Heermann's Gull,Larus heermanni,109
LAGU,Laughing Gull,Leucophaeus atricilla,110
FRGU,Franklin's Gull,Leucophaeus pipixcan,111
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,112
LIGU,Little Gull,Hydrocoloeus minutus,113
ROGU,Ross's Gull,Rhodostethia rosea,114
SAGU,Sabine's Gull,Xema sabini,115
GBTE,Gull-billed Tern,Gelochelidon nilotica,116
CATE,Caspian Tern,Hydroprogne caspia,117
ROYT,Royal Tern,Thalasseus maximus,118
CRTE,Crested Tern,Thalasseus bergii,119
