Key,"Observation Identifier",Status,"Question Set",Latitude,Longitude,Timestamp,Year,Month,Day,Hour,Minute,Second,"Time Zone",Technician,"Metadata Key","Edit Link",Observed,Count,"Reason for condition report","Site name","Photos of site","Hour start time (MST)","Number of observers this hour","Visitor Disturbance","Minutes observed","Observer 1 name","Observer 1 start/stop times this hour","Observer 2 name","Observer 2 start/stop times","Additional Observer name(s)","Additional observer start/stop times","Flight Altitude Code","Direction Code","Distance Code","Notes on flight (describe direction if Z above)","Sky condition - cloud cover","Sky Condition - most prevalent other weather (choose up to 2)","Most prevalent Cloud Type","Second most prevalent Cloud Type","Third most prevalent Cloud Type","Thermal lift","Wind speed avg","Wind gust (kph)","Wind speed (Protocol 1 only if Sherpa not working)","Wind from (direction in degrees)","Temperature (deg C)","Barometric pressure (in Hg)","Notes on conditions","Visibility E  (km)","Visibility W (km)"
60322,"Report 60322",Open,4119,36.05403995882,-112.13639369210,1441957854,2015,09,11," 0",50,54,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60322,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
60324,"Report 60324",Open,4119,36.05407551844,-112.13640922533,1441957827,2015,09,11," 0",50,27,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60324,,,"Regular hourly flight summary (at the top of hour for previous hour's flight)",,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
60374,"emilee stop 1030",Open,4119,36.05406350067,-112.13651056376,1442154680,2015,09,13," 7",31,20,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60374,"emilee stop 1030",,,,,,,,,,,"emilee sparks","1030 stop",,,,,,,,,,,,,,,,,,,,,
60375,"end 1100",Open,4119,36.05309170000,-112.13265000000,1442125038,2015,09,12,23,17,18,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60375,"end 1100",,"End of day",,,,,,60,"steve seibel",,,,"kumara macleod","1100 stop",,,,,,,,,,,,,,,,,,,
60376,"9 to 10 summary",Open,4119,36.05410830048,-112.13649291407,1442123330,2015,09,12,22,48,50,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60376,"9 to 10 summary",,"Regular hourly flight summary (at the top of hour for previous hour's flight)",,,09:00,"3.0 ","1 (low)",60,,,,,,,"1 Eye level up to about 30 m (100 ft) overhead.","M - mixed","3 = Far birds, require binoculars for detection and ID",,,,,,,,,,,,,,,,
60377,"10 to 11 summary",Open,4119,36.05412427320,-112.13646898902,1442122916,2015,09,12,22,41,56,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60377,"10 to 11 summary",,"Regular hourly flight summary (at the top of hour for previous hour's flight)",,,10:00,"2.5 ","1 (low)",60,"steve seibel","1100 stop","emilee sparks","1030 stop","kumara macleod","1100 stop","1 Eye level up to about 30 m (100 ft) overhead.","W - mostly passing to the West","3 = Far birds, require binoculars for detection and ID",,,,,,,,,,,,,,,,
60378,"1030 wx",Open,4119,36.05413570824,-112.13643841566,1442122775,2015,09,12,22,39,35,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60378,"1030 wx",,"Regular hourly weather report (on the half hour)",,,,,,,,,,,,,,,,,"0 - Clear (1-15%)",,"0 - Clear",,,"2 - Good","6.0 Kilometers per Hour","10.0 Kilometers per Hour",,"310 Degrees of Navigation (0-360)","24.5 Celsius","30.11 Inches of Mercury",,,"70.0 Kilometers"
60379,"930 wx",Open,4119,36.05408888503,-112.13644463254,1442122222,2015,09,12,22,30,22,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60379,"930 wx",,"Regular hourly weather report (on the half hour)",,,,,,,,,,,,,,,,,"0 - Clear (1-15%)",,"0 - Clear",,,"3 - Fair","2.0 Kilometers per Hour","2.0 Kilometers per Hour",,"270 Degrees of Navigation (0-360)","23.0 Celsius","30.10 Inches of Mercury",,,"70.0 Kilometers"
60380,"start 0900",Open,4119,36.05419578999,-112.13646207867,1442121767,2015,09,12,22,22,47,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60380,"start 0900",,"Start of day","grand canyon yaki",,09:00,,,n/a,"steve seibel","900 start","emilee sparks","900 start","kumara macleod","900 start",,,,,"0 - Clear (1-15%)",,"0 - Clear",,,"3 - Fair","3.0 Kilometers per Hour","3.0 Kilometers per Hour",,"230 Degrees of Navigation (0-360)","26.0 Celsius","30.10 Inches of Mercury",,,"70.0 Kilometers"
60837,"Report 60837",Open,4119,36.05102258213,-112.13656965646,1442159386,2015,09,13," 8",49,46,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60837,,,"End of day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60838,"Report 60838",Open,4119,36.05103265183,-112.13666800344,1442158851,2015,09,13," 8",40,51,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60863,"1512 end obs",Closed,4119,36.05093400000,-112.13684840000,1442186277,2015,09,13,16,17,57,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60863,"1512 end obs",,"End of day",,,,,,,"e s","1512 stop",,,"s s","1512 stop",,,,,,,,,,,,,,,,,,,
60864,"15 to 16 summary",Closed,4119,36.05105593512,-112.13655523903,1442186031,2015,09,13,16,13,51,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60864,"15 to 16 summary",,"Regular hourly flight summary (at the top of hour for previous hour's flight)",,,15:00,"2.0 ","1 (low)",10,,,,,,,,,,,,,,,,,,,,,,,,,
60865,"observer 2 stop",Closed,4119,36.05101699472,-112.13657665270,1442185622,2015,09,13,16,07,02,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60865,"observer 2 stop",,,,,,,,,,,"k m","1418 stop",,,,,,,,,,,,,,,,,,,,,
60866,"observer 2 start",Closed,4119,36.05095446626,-112.13661336129,1442185567,2015,09,13,16,06,07,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60866,"observer 2 start",,,,,,,,,,,"k m","1142 start",,,,,,,,,,,,,,,,,,,,,
60867,"observer 2 stop",Closed,4119,36.05104052182,-112.13656633475,1442185498,2015,09,13,16,04,58,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60867,"observer 2 stop",,,,,,,,,,,"k m","0936 stop",,,,,,,,,,,,,,,,,,,,,
