BE,Bald Eagle (1 of 1222)
BV,Black Vulture (2 of 1222)
BW,Broad-winged Hawk (3 of 1222)
BH,Common Black Hawk (4 of 1222)
CH,Cooper's Hawk (5 of 1222)
CC,Crested Caracara (6 of 1222)
EK,Eurasian Kestrel (7 of 1222)
FH,Ferruginous Hawk (8 of 1222)
GE,Golden Eagle (9 of 1222)
GH,Gray Hawk (10 of 1222)
GY,Gyrfalcon (11 of 1222)
HH,Harris's Hawk (12 of 1222)
HK,Hook-billed Kite (13 of 1222)
ML,Merlin (14 of 1222)
MK,Mississippi Kite (15 of 1222)
NG,Northern Goshawk (16 of 1222)
NH,Northern Harrier (17 of 1222)
OS,Osprey (18 of 1222)
PG,Peregrine Falcon (19 of 1222)
PK,Plumbeous Kite (20 of 1222)
PR,Prairie Falcon (21 of 1222)
RS,Red-shouldered Hawk (22 of 1222)
RT,Red-tailed Hawk (23 of 1222)
RL,Rough-legged Hawk (24 of 1222)
SS,Sharp-shinned Hawk (25 of 1222)
SH,Short-tailed Hawk (26 of 1222)
SN,Snail Kite (27 of 1222)
SW,Swainson's Hawk (28 of 1222)
SK,Swallow-tailed Kite (29 of 1222)
TV,Turkey Vulture (30 of 1222)
UA,Unknown Accipiter (31 of 1222)
UB,Unknown Buteo (32 of 1222)
UE,Unknown Eagle (33 of 1222)
UF,Unknown Falcon (34 of 1222)
UR,Unknown Raptor (35 of 1222)
UV,Unknown Vulture (36 of 1222)
WE,White-tailed Eagle (37 of 1222)
WT,White-tailed Hawk (38 of 1222)
WK,White-tailed Kite (39 of 1222)
ZT,Zone-tailed Hawk (40 of 1222)
SA,Small Accipiter (41 of 1222)
LA,Large Accipiter (42 of 1222)
SF,Small Falcon (43 of 1222)
LF,Large Falcon (44 of 1222)
UK,Unknown Kite (45 of 1222)
WEGR,Western Grebe (46 of 1222)
CLGR,Clark's Grebe (47 of 1222)
WCGR,Western/Clark's Grebe (48 of 1222)
RNGR,Red-necked Grebe (49 of 1222)
HOGR,Horned Grebe (50 of 1222)
EAGR,Eared Grebe (51 of 1222)
LEGR,Least Grebe (52 of 1222)
PBGR,Pied-billed Grebe (53 of 1222)
COLO,Common Loon (54 of 1222)
YBLO,Yellow-billed Loon (55 of 1222)
ARLO,Arctic Loon (56 of 1222)
PALO,Pacific Loon (57 of 1222)
RTLO,Red-throated Loon (58 of 1222)
TUPU,Tufted Puffin (59 of 1222)
ATPU,Atlantic Puffin (60 of 1222)
HOPU,Horned Puffin (61 of 1222)
RHAU,Rhinoceros Auklet (62 of 1222)
CAAU,Cassin's Auklet (63 of 1222)
PAAU,Parakeet Auklet (64 of 1222)
CRAU,Crested Auklet (65 of 1222)
WHAU,Whiskered Auklet (66 of 1222)
LEAU,Least Auklet (67 of 1222)
ANMU,Ancient Murrelet (68 of 1222)
MAMU,Marbled Murrelet (69 of 1222)
LBMU,Long-billed Murrelet (70 of 1222)
AMMU,Alaska Marbled Murrelet (71 of 1222)
KIMU,Kittlitz's Murrelet (72 of 1222)
XAMU,Xantus's Murrelet (73 of 1222)
SCMU,Scripps's Murrelet (74 of 1222)
GUMU,Guadalupe Murrelet (75 of 1222)
CRMU,Craveri's Murrelet (76 of 1222)
BLGU,Black Guillemot (77 of 1222)
PIGU,Pigeon Guillemot (78 of 1222)
COMU,Common Murre (79 of 1222)
TBMU,Thick-billed Murre (80 of 1222)
RAZO,Razorbill (81 of 1222)
DOVE,Dovekie (82 of 1222)
GRSK,Great Skua (83 of 1222)
SPSK,South Polar Skua (84 of 1222)
POJA,Pomarine Jaeger (85 of 1222)
PAJA,Parasitic Jaeger (86 of 1222)
LTJA,Long-tailed Jaeger (87 of 1222)
IVGU,Ivory Gull (88 of 1222)
MAGU,Magellan Gull (89 of 1222)
BLKI,Black-legged Kittiwake (90 of 1222)
RLKI,Red-legged Kittiwake (91 of 1222)
GLGU,Glaucous Gull (92 of 1222)
ICGU,Iceland Gull (93 of 1222)
THGU,Thayer's Gull (94 of 1222)
GWGU,Glaucous-winged Gull (95 of 1222)
HYGU,Hybrid Gull (96 of 1222)
GBBG,Great Black-backed Gull (97 of 1222)
SBGU,Slaty-backed Gull (98 of 1222)
WEGU,Western Gull (99 of 1222)
YFGU,Yellow-footed Gull (100 of 1222)
LBBG,Lesser Black-backed Gull (101 of 1222)
HERG,Herring Gull (102 of 1222)
CAGU,California Gull (103 of 1222)
UNGU,Unidentified Gull (104 of 1222)
RBGU,Ring-billed Gull (105 of 1222)
BTGU,Band-tailed Gull (106 of 1222)
MEGU,Mew Gull (107 of 1222)
BHGU,Black-headed Gull (108 of 1222)
HEEG,Heermann's Gull (109 of 1222)
