Key,"Observation Identifier",Status,"Question Set",Latitude,Longitude,Timestamp,Year,Month,Day,Hour,Minute,Second,"Time Zone",Technician,"Metadata Key","Edit Link",Observed,Count,"Age of bird","Direction of bird(s) if other than normal",Photo,Notes
60077,"SS - Sharp-shinned Hawk",Open,4121,36.05410689076,-112.13647220242,1441957709,2015,09,11," 0",48,29,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60077,"SS - Sharp-shinned Hawk",1,"U - Unknown",,,
60079,"SS - Sharp-shinned Hawk",Open,4121,36.05409338264,-112.13648839559,1441957668,2015,09,11," 0",47,48,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60079,"SS - Sharp-shinned Hawk",1,"U - Unknown",,,
60080,"SS - Sharp-shinned Hawk",Open,4121,36.05410219484,-112.13650536762,1441957632,2015,09,11," 0",47,12,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60080,"SS - Sharp-shinned Hawk",1,"U - Unknown",,,
60081,"SS - Sharp-shinned Hawk",Open,4121,36.05409511097,-112.13650680475,1441957585,2015,09,11," 0",46,25,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60081,"SS - Sharp-shinned Hawk",1,"U - Unknown",,,
60321,"SS - Sharp-shinned Hawk",Open,4121,36.05409045470,-112.13647604682,1441957540,2015,09,11," 0",45,40,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60321,"SS - Sharp-shinned Hawk",1,"U - Unknown",,,
60326,"CH - Cooper's Hawk",Open,4121,36.05400852479,-112.13650565687,1442125860,2015,09,12,23,31,00,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60326,"CH - Cooper's Hawk",5,"U - Unknown",,,"1000 hour"
60327,"SS - Sharp-shinned Hawk",Open,4121,36.05409097657,-112.13648732904,1442125724,2015,09,12,23,28,44,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60327,"SS - Sharp-shinned Hawk",4,"U - Unknown",,,"1000 hour"
60373,"CH - Cooper's Hawk",Open,4121,36.05410402430,-112.13648076907,1442122071,2015,09,12,22,27,51,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60373,"CH - Cooper's Hawk",3,"U - Unknown",,,"0900 hour"
60839,"CH - Cooper's Hawk",Closed,4121,36.05707504474,-112.08386094656,1442181038,2015,09,13,14,50,38,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60839,"CH - Cooper's Hawk",1,"I - Immature",,,
60840,"SS - Sharp-shinned Hawk",Closed,4121,36.05700425765,-112.08385899320,1442178919,2015,09,13,14,15,19,-7,"Grand Canyon HawkWatch",,https://admin.ornicept.com/reports/60840,"SS - Sharp-shinned Hawk",2,"U - Unknown",,,
